,P,D
0,1,0
1,2,1
2,4,2
3,3,-1
4,6,3
5,10,4
6,8,-2
7,5,-3
8,11,6
9,7,-4
10,14,7
11,9,-5
12,17,8
13,26,9
14,20,-6
15,13,-7
16,23,10
17,15,-8
18,27,12
19,18,-9
20,31,13
21,21,-10
22,35,14
23,24,-11
24,12,-12
25,28,16
26,45,17
27,32,-13
28,16,-16
29,34,18
30,19,-15
31,38,19
32,58,20
33,44,-14
34,25,-19
35,46,21
36,29,-17
37,51,22
38,33,-18
39,56,23
40,36,-20
41,60,24
42,39,-21
43,64,25
44,42,-22
45,68,26
46,43,-25
47,70,27
48,47,-23
49,75,28
50,49,-26
51,22,-27
52,52,30
53,83,31
54,59,-24
55,30,-29
56,62,32
57,95,33
58,67,-28
59,37,-30
60,71,34
61,40,-31
62,76,36
63,41,-35
64,78,37
65,116,38
66,84,-32
67,50,-34
68,89,39
69,53,-36
70,93,40
71,55,-38
72,96,41
73,63,-33
74,105,42
75,66,-39
76,109,43
77,72,-37
78,117,45
79,77,-40
80,123,46
81,82,-41
82,129,47
83,87,-42
84,135,48
85,92,-43
86,48,-44
87,97,49
88,147,50
89,102,-45
90,54,-48
91,106,52
92,57,-49
93,110,53
94,164,54
95,118,-46
96,65,-53
97,120,55
98,73,-47
99,130,57
100,80,-50
101,138,58
102,86,-52
103,145,59
104,94,-51
105,154,60
106,100,-54
107,161,61
108,104,-57
109,166,62
110,111,-55
111,174,63
112,115,-59
113,179,64
114,121,-58
115,61,-60
116,126,65
117,192,66
118,136,-56
119,74,-62
120,141,67
121,69,-72
122,137,68
123,206,69
124,143,-63
125,79,-64
126,149,70
127,88,-61
128,159,71
129,91,-68
130,163,72
131,98,-65
132,171,73
133,101,-70
134,175,74
135,108,-67
136,183,75
137,114,-69
138,190,76
139,124,-66
140,201,77
141,128,-73
142,207,79
143,133,-74
144,213,80
145,142,-71
146,223,81
147,148,-75
148,230,82
149,153,-77
150,236,83
151,160,-76
152,81,-79
153,165,84
154,85,-80
155,170,85
156,256,86
157,178,-78
158,90,-88
159,177,87
160,265,88
161,184,-81
162,99,-85
163,188,89
164,278,90
165,196,-82
166,113,-83
167,204,91
168,112,-92
