ind	P	D
1	1	0
2	2	1
3	4	2
4	3	-1
5	6	3
6	10	4
7	8	-2
8	5	-3
9	11	6
10	7	-4
11	14	7
12	9	-5
13	17	8
14	26	9
15	20	-6
16	13	-7
17	23	10
18	15	-8
19	27	12
20	18	-9
21	31	13
22	21	-10
23	35	14
24	24	-11
25	12	-12
26	28	16
27	45	17
28	32	-13
29	16	-16
30	34	18
31	19	-15
32	38	19
33	58	20
34	44	-14
35	25	-19
36	46	21
37	29	-17
38	51	22
39	33	-18
40	56	23
41	36	-20
42	60	24
43	39	-21
44	64	25
45	42	-22
46	68	26
47	43	-25
48	70	27
49	47	-23
50	75	28
51	49	-26
52	22	-27
53	52	30
54	83	31
55	59	-24
56	30	-29
57	62	32
58	95	33
59	67	-28
60	37	-30
61	71	34
62	40	-31
63	76	36
64	41	-35
65	78	37
66	116	38
67	84	-32
68	50	-34
69	89	39
70	53	-36
71	93	40
72	55	-38
73	96	41
74	63	-33
75	105	42
76	66	-39
77	109	43
78	72	-37
79	117	45
80	77	-40
81	123	46
82	82	-41
83	129	47
84	87	-42
85	135	48
86	92	-43
87	48	-44
88	97	49
89	147	50
90	102	-45
91	54	-48
92	106	52
93	57	-49
94	110	53
95	164	54
96	118	-46
97	65	-53
98	120	55
99	73	-47
100	130	57
101	80	-50
102	138	58
103	86	-52
104	145	59
105	94	-51
106	154	60
107	100	-54
108	161	61
109	104	-57
110	166	62
111	111	-55
112	174	63
113	115	-59
114	179	64
115	121	-58
116	61	-60
117	126	65
118	192	66
119	136	-56
120	74	-62
121	141	67
122	69	-72
123	137	68
124	206	69
125	143	-63
126	79	-64
127	149	70
128	88	-61
129	159	71
130	91	-68
131	163	72
132	98	-65
133	171	73
134	101	-70
135	175	74
136	108	-67
137	183	75
138	114	-69
139	190	76
140	124	-66
141	201	77
142	128	-73
143	207	79
144	133	-74
145	213	80
146	142	-71
147	223	81
148	148	-75
149	230	82
150	153	-77
151	236	83
152	160	-76
153	81	-79
154	165	84
155	85	-80
156	170	85
157	256	86
158	178	-78
159	90	-88
160	177	87
161	265	88
162	184	-81
163	99	-85
164	188	89
165	278	90
166	196	-82
